co_seq_curso,no_curso,qt_carga_horaria_total,co_seq_orgao,sg_orgao,no_orgao,no_formato,no_nivel,no_modalidade,ds_imagem,status,status_ordem,rank,metadata_coleta,id,titulo,descricao,carga_horaria,categoria,publico_alvo,palavras_chave,link,vagas,numero_vagas,qt_vagas,vagas_disponiveis,inicio_inscricao,fim_inscricao,data_inicio,data_fim,modalidade,tipo_curso,nivel,area_tematica,instituicao,coordenador,tutores,certificacao,pre_requisitos,objetivos,metodologia,avaliacao,bibliografia
44538,1º Formação de Preceptores para o SUS,195,13,UNIFESP,Universidade Federal de São Paulo,Ensino a Distância,Extensão,Aperfeiçoamento,https://ppuview.unasus.gov.br/arouca_imagens/44538_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-28T09:02:34.905912', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44540,2º Formação de Preceptores para o SUS,195,13,UNIFESP,Universidade Federal de São Paulo,Ensino a Distância,Extensão,Aperfeiçoamento,https://ppuview.unasus.gov.br/arouca_imagens/44540_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-28T09:02:34.905929', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47028,Abordagem Clínica de Zika na Atenção Primária à Saúde,45,4511621,FIOCRUZ - MS,Fundação Oswaldo Cruz - Mato Grosso do Sul,Ensino a Distância,Extensão,Atualização,https://ppuview.unasus.gov.br/arouca_imagens/47028_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-28T09:02:34.905935', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47054,Abordagem Cuidados para o desenvolvimento da criança na atenção primária a saúde,30,1,UFMG,Universidade Federal de Minas Gerais,Ensino a Distância,Extensão,Atualização,https://ppuview.unasus.gov.br/arouca_imagens/47054_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-28T09:02:34.905939', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46624,Abordagem das síndromes geriátricas e cuidados paliativos na Atenção Primária à Saúde,12,4511661,FIOCRUZ - BRASÍLIA,Fundação Oswaldo Cruz - Brasília,Ensino a Distância,Outros,Qualificação,https://ppuview.unasus.gov.br/arouca_imagens/46624_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-28T09:02:34.905943', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6280,Abordagem da Violência na Atenção Domiciliar,45,3,UERJ,Universidade do Estado do Rio de Janeiro,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/6280_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-28T09:02:34.905947', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45389,Abordagem Domiciliar de Pacientes em Cuidados Paliativos,45,9,UFPEL,Universidade Federal de Pelotas,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/45389_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-28T09:02:34.905950', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44521,Abordagem Domiciliar de Pacientes em Cuidados Paliativos,45,9,UFPEL,Universidade Federal de Pelotas,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/44521_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-28T09:02:34.905955', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43668,Abordagem domiciliar de situações clínicas comuns em adultos,60,17,UFPE,Universidade Federal de Pernambuco,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/43668_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-28T09:02:34.905959', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44108,Abordagem Domiciliar em Situações Clínicas Comuns em Idosos,45,9,UFPEL,Universidade Federal de Pelotas,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/44108_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-28T09:02:34.905962', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
